12	53	20	25
12	54	65	30
12	55	50	23
12	56	50	31
12	57	17	100
12	58	0	24
12	59	19	7
12	60	35	75
12	61	31	32
12	62	50	50
12	63	41	21
12	64	50	25
12	65	22	15
12	66	22	90
12	67	.	.
12	68	16	15
12	69	24	88
12	70	0	76
12	71	27	89
12	72	75	50
12	73	0	65
12	74	33	20
12	75	75	25
12	76	50	85
12	77	80	22
12	78	0	22
12	79	50	75
12	80	24	83
12	81	50	23
12	82	73	0
12	83	17	26
12	84	75	35
12	85	0	80
12	86	88	90
12	87	50	18
12	88	50	20
12	89	20	85
12	90	0	20
12	91	27	50
12	92	23	66
12	93	0	14
12	94	26	22
12	95	26	21
12	96	66	72
12	97	62	63
12	98	72	100
12	99	76	100
12	100	96	10
12	101	24	27
12	102	78	63
12	103	95	17
12	104	69	70
12	105	100	15
12	106	100	25
12	107	90	0
12	108	94	78
12	109	100	15
12	110	0	34
12	111	0	50
12	112	40	17
12	113	0	0
12	114	0	0
12	115	0	0
12	116	18	6
12	117	22	0
12	118	29	35
12	119	50	0
12	120	0	0
12	121	71	0
12	122	0	12
12	123	20	25
